Image,Input_Image_Size_MB,Original_Resolution,Output_Resolution,Megapixels,baseline_ms,openmp_ms,openmp_speedup,cuda_ms,cuda_speedup,mpi_ms,mpi_speedup,baseline_throughput_MPps,openmp_throughput_MPps,cuda_throughput_MPps,mpi_throughput_MPps
0001.jpg,10.055,2496x1408,1248x704,3.514,205.36933333333332,30.801466666666666,13.216333333333333,8.105666666666666,27.528333333333336,16.8263,12.156666666666666,17.111,114.085,433.524,208.84
0002.jpg,10.983,2608x1472,1304x736,3.839,239.919,22.009600000000002,16.620333333333335,4.678866666666667,51.428,14.088299999999998,19.312,16.001,174.424,820.498,272.496
0003.jpg,11.759,2704x1520,1352x760,4.11,299.1596666666667,12.7776,23.322666666666667,5.051966666666666,60.14933333333334,16.956833333333332,20.278000000000002,13.738,321.657,813.545,242.38
0004.jpg,12.762,2816x1584,1408x792,4.461,271.5523333333333,14.735866666666666,18.483,5.313199999999999,50.94566666666666,14.240866666666667,19.61,16.428,302.731,839.607,313.253
0005.jpg,13.597,2912x1632,1456x816,4.752,287.208,18.0147,19.387666666666664,6.416633333333333,44.980999999999995,16.185433333333332,19.149,16.546,263.785,740.575,293.597
0006.jpg,14.596,3008x1696,1504x848,5.102,304.25033333333334,28.62306666666667,16.000666666666664,5.7214,53.19866666666667,24.894366666666667,13.236333333333334,16.769,178.248,891.74,204.946
0007.jpg,15.488,3104x1744,1552x872,5.413,342.7556666666667,27.160566666666668,17.055666666666667,6.4363,53.16433333333333,18.377366666666667,19.760666666666665,15.793,199.296,841.011,294.547
0008.jpg,16.324,3184x1792,1592x896,5.706,349.3163333333334,30.067433333333337,16.507666666666665,6.612100000000001,52.815,20.587733333333333,18.032333333333334,16.335,189.773,862.963,277.155
0009.jpg,17.267,3280x1840,1640x920,6.035,386.32300000000004,38.550866666666664,15.582,7.103533333333334,54.766333333333336,20.94883333333333,19.105,15.622,156.546,849.577,288.083
0010.jpg,18.149,3360x1888,1680x944,6.344,391.49066666666664,33.66646666666667,17.063333333333333,7.1649,54.67633333333333,20.976366666666667,19.39,16.205,188.437,885.428,302.436
0011.jpg,19.054,3440x1936,1720x968,6.66,406.3283333333334,45.19656666666666,14.026000000000002,7.4412666666666665,54.38366666666667,21.7848,19.233,16.391,147.356,895.009,305.718
0012.jpg,19.98,3520x1984,1760x992,6.984,425.666,60.758399999999995,7.954666666666667,7.544866666666667,56.578,28.5915,15.178666666666667,16.407,114.947,925.662,244.268
0013.jpg,20.929,3600x2032,1800x1016,7.315,446.59133333333335,44.86763333333334,16.83366666666667,8.461933333333334,53.33066666666667,25.59166666666667,17.56,16.38,163.035,864.46,285.835
0014.jpg,21.731,3680x2064,1840x1032,7.596,451.72600000000006,35.649499999999996,15.264333333333333,8.804266666666665,57.02633333333333,23.789666666666665,19.656666666666666,16.816,213.075,862.764,319.298
0015.jpg,22.72,3760x2112,1880x1056,7.941,485.955,37.46593333333333,14.044666666666666,7.966733333333333,61.77766666666667,29.011433333333333,17.557,16.341,211.953,996.77,273.72
0016.jpg,23.73,3840x2160,1920x1080,8.294,503.3966666666667,43.03666666666666,14.214999999999998,8.617166666666668,59.812999999999995,28.970299999999998,19.010333333333335,16.476,192.719,962.497,286.293
0017.jpg,24.483,3904x2192,1952x1096,8.558,509.25766666666664,59.075733333333325,11.932,8.2981,62.049,28.601566666666667,18.148333333333333,16.805,144.865,1031.32,299.214
0018.jpg,25.532,3984x2240,1992x1120,8.924,546.082,57.1824,12.626,8.596200000000001,64.241,31.888733333333334,17.365333333333336,16.342,156.062,1038.133,279.848
0019.jpg,26.313,4048x2272,2024x1136,9.197,551.0173333333333,53.76693333333333,12.414,8.940066666666667,62.23266666666667,38.783166666666666,14.470333333333334,16.691,171.053,1028.74,237.139
0020.jpg,27.294,4112x2320,2056x1160,9.54,584.9946666666666,76.37503333333333,9.825999999999999,10.167866666666667,57.75266666666667,35.06726666666667,17.782666666666668,16.308,124.91,938.25,272.049
