Image,Input_Image_Size_MB,Original_Resolution,Output_Resolution,baseline_ms,openmp_ms,openmp_speedup,cuda_ms,cuda_speedup,mpi_ms,mpi_speedup
0001.jpg,10.055,2496x1408,3744x2112,1873.07,133.0773333333333,14.465666666666666,10.100366666666666,189.6496666666667,108.73389999999999,17.82466666666667
0002.jpg,10.983,2608x1472,3912x2208,2067.8433333333332,127.87966666666667,16.599,11.4835,182.471,106.8753,21.165333333333333
0003.jpg,11.759,2704x1520,4056x2280,2209.1,150.501,14.844666666666667,12.263133333333334,180.65133333333333,135.5941,17.32
0004.jpg,12.762,2816x1584,4224x2376,2396.9866666666667,158.553,15.255,12.642133333333334,195.80733333333333,121.58133333333335,20.381666666666668
0005.jpg,13.597,2912x1632,4368x2448,2536.8700000000003,169.204,15.165666666666667,14.276299999999999,177.79133333333334,123.484,21.208333333333332
0006.jpg,14.596,3008x1696,4512x2544,2697.0766666666664,207.67466666666667,14.005333333333335,14.341066666666668,191.196,157.654,18.249666666666666
0007.jpg,15.488,3104x1744,4656x2616,2880.0333333333333,171.97466666666665,16.763333333333332,15.807,183.13966666666667,166.36366666666666,18.072666666666667
0008.jpg,16.324,3184x1792,4776x2688,3014.1733333333336,199.09400000000002,15.111333333333334,16.351733333333332,184.90066666666667,159.65863333333334,20.857333333333333
0009.jpg,17.267,3280x1840,4920x2760,3363.0066666666667,234.77866666666668,14.479666666666667,16.132933333333334,216.177,177.97766666666666,19.841
0010.jpg,18.149,3360x1888,5040x2832,3685.896666666667,246.28033333333335,14.973999999999998,17.664533333333335,210.63666666666666,205.09633333333332,18.18133333333333
0011.jpg,19.054,3440x1936,5160x2904,3660.31,222.731,16.558,17.481066666666667,217.564,257.401,18.314333333333334
0012.jpg,19.98,3520x1984,5280x2976,3705.8566666666666,243.92533333333336,15.175333333333334,19.370900000000002,193.566,192.91166666666666,20.227666666666668
0013.jpg,20.929,3600x2032,5400x3048,3904.0766666666664,241.88400000000001,16.08566666666667,20.2363,202.742,220.85966666666664,18.053
0014.jpg,21.731,3680x2064,5520x3096,4008.8566666666666,261.63733333333334,15.403333333333334,22.0599,190.288,203.49066666666667,20.824
0015.jpg,22.72,3760x2112,5640x3168,4181.63,258.84233333333333,16.182333333333332,22.2037,191.239,228.452,19.659000000000002
0016.jpg,23.73,3840x2160,5760x3240,4430.916666666667,257.10966666666667,17.271666666666665,22.608266666666665,208.91466666666665,231.49666666666667,19.717333333333332
0017.jpg,24.483,3904x2192,5856x3288,4600.143333333333,290.3243333333333,15.820333333333332,24.28996666666667,203.47033333333334,235.22366666666667,20.239666666666665
0018.jpg,25.532,3984x2240,5976x3360,4828.8,291.31033333333335,16.546666666666667,26.176266666666667,184.4143333333333,262.03566666666666,19.704666666666665
0019.jpg,26.313,4048x2272,6072x3408,4905.713333333333,314.87,15.626,25.324533333333335,212.9863333333333,276.8066666666667,19.230333333333334
0020.jpg,27.294,4112x2320,6168x3480,5132.233333333334,263.20133333333337,20.29733333333333,25.630200000000002,213.775,265.31466666666665,20.974999999999998
0021.jpg,28.208,4192x2352,6288x3528,5355.003333333333,315.945,16.882666666666665,29.194,187.01566666666668,276.7896666666667,20.537333333333333
0022.jpg,29.029,4256x2384,6384x3576,5491.926666666666,289.7473333333333,19.378666666666664,28.1889,206.389,303.27433333333335,19.07133333333333
0023.jpg,30.059,4320x2432,6480x3648,5761.156666666667,333.42533333333336,17.249666666666666,37.181999999999995,158.94133333333335,324.63000000000005,19.18133333333333
0024.jpg,30.905,4384x2464,6576x3696,5664.110000000001,313.26,18.238333333333333,28.982166666666668,200.08833333333334,310.0953333333334,19.226333333333333
0025.jpg,31.764,4448x2496,6672x3744,6207.079999999999,312.108,21.40833333333333,30.745900000000002,208.87133333333335,326.4123333333334,22.495333333333335
0026.jpg,32.84,4512x2544,6768x3816,6593.87,394.132,16.831999999999997,32.16823333333333,206.86866666666666,326.064,21.31233333333333
0027.jpg,33.725,4576x2576,6864x3864,6279.75,369.3666666666666,16.943,32.0537,208.07399999999998,330.04900000000004,20.507
0028.jpg,34.622,4640x2608,6960x3912,6395.826666666667,394.85699999999997,16.165333333333333,32.9001,208.49699999999999,327.8403333333333,20.969333333333335
0029.jpg,35.409,4688x2640,7032x3960,6636.436666666667,396.1483333333333,16.698333333333334,34.14516666666666,211.15966666666668,360.8226666666667,19.718
0030.jpg,36.327,4752x2672,7128x4008,6768.150000000001,421.30033333333336,16.073333333333334,34.17423333333333,216.5186666666667,367.837,19.220666666666666
0031.jpg,37.258,4816x2704,7224x4056,6978.666666666667,398.4356666666667,17.516333333333332,35.030366666666666,215.19566666666665,368.18133333333327,20.427333333333333
0032.jpg,38.074,4864x2736,7296x4104,7165.656666666667,413.57466666666664,17.25,33.3649,226.955,424.32366666666667,17.232333333333333
0033.jpg,39.026,4928x2768,7392x4152,7316.176666666666,425.05466666666666,17.159000000000002,37.22886666666667,221.9043333333333,387.82233333333335,20.080666666666666
0034.jpg,39.99,4992x2800,7488x4200,7476.23,419.0976666666667,17.816000000000003,36.9213,207.778,413.6773333333333,19.890666666666664
0035.jpg,40.836,5040x2832,7560x4248,8300.5,426.7293333333334,19.50133333333333,35.7256,241.09,437.7773333333334,20.356333333333335
0036.jpg,41.822,5104x2864,7656x4296,8978.446666666667,446.87033333333335,19.967333333333332,38.257666666666665,234.7703333333333,471.85999999999996,20.537666666666667
0037.jpg,42.687,5152x2896,7728x4344,8825.993333333334,476.766,18.456,36.4974,254.41033333333334,460.1913333333334,21.068
0038.jpg,43.561,5200x2928,7800x4392,8657.03,462.279,18.697999999999997,39.03916666666667,226.58833333333334,424.7806666666667,21.294666666666668
0039.jpg,44.579,5264x2960,7896x4440,8429.82,496.49966666666666,16.96166666666667,45.575133333333326,185.0393333333333,468.7853333333333,19.160666666666668
0040.jpg,45.472,5312x2992,7968x4488,8463.210000000001,471.70666666666665,17.886,41.56386666666666,207.41266666666664,441.7526666666667,20.49866666666667
0041.jpg,46.373,5360x3024,8040x4536,8907.626666666667,401.1523333333334,25.851333333333333,41.49193333333333,221.4513333333333,393.699,23.802333333333333
